Region,Year,ID,Category,Sub Category 1,Sub Category 2,MI (40),ID (42),DD (43),BI (47),Admin (44),Other,Total
Southeast Iowa Link,2021,4429,Other Informational Services,,Planning and Management Consultants (Non-Client Related),,,,,,,
Southeast Iowa Link,2021,5373,Other Informational Services,,Public Education Services,987928.4,,,,,,987928.4
Southeast Iowa Link,2021,6399,Community Living Support Services,,Academic Services,,,,,,,
Southeast Iowa Link,2021,22XXX,Community Living Support Services,,Services management,210134.86,,,,,,210134.86
Southeast Iowa Link,2021,23XXX,Community Living Support Services,,Crisis Care Coordination,1598.38,,,,,,1598.38
Southeast Iowa Link,2021,31XXX,Community Living Support Services,,Transportation,,,,,,,
Southeast Iowa Link,2021,32321,Community Living Support Services,,Support Services - Chore Services,,,,,,,
Southeast Iowa Link,2021,32326,Community Living Support Services,,Support Services - Guardian/Conservator,,,,,,,
Southeast Iowa Link,2021,32327,Community Living Support Services,,Support Services - Representative Payee,,,,,,,
Southeast Iowa Link,2021,32335,Community Living Support Services,,Consumer-Directed Attendant Care,,,,,,,
Southeast Iowa Link,2021,32399,Community Living Support Services,,Support Services - Other,,,,,,,
Southeast Iowa Link,2021,33330,Community Living Support Services,,Mobile Meals,,,,,,,
Southeast Iowa Link,2021,33340,Community Living Support Services,,Basic Needs - Rent Payments,16129.3,,,,,,16129.3
Southeast Iowa Link,2021,33345,Community Living Support Services,,Basic Needs - Ongoing Rent Subsidy,,,,,,,
Southeast Iowa Link,2021,33399,Community Living Support Services,,Basic Needs - Other,,,,,,,
Southeast Iowa Link,2021,41305,Community Living Support Services,,Physiological Treatment - Outpatient,,,,,,,
Southeast Iowa Link,2021,41306,Community Living Support Services,,Physiological Treatment - Prescription Medicine/Vaccines,,,,,,,
Southeast Iowa Link,2021,41307,Community Living Support Services,,Physiological Treatment - In-Home Nursing,10368.66,,,,,,10368.66
Southeast Iowa Link,2021,41308,Community Living Support Services,,Physiological Treatment - Health Supplies and Equipment,,,,,,,
Southeast Iowa Link,2021,41399,Community Living Support Services,,Physiological Treatment - Other,,,,,,,
Southeast Iowa Link,2021,42309,Community Living Support Services,,Psychotherapeutic Treatment - Partial Hospitalization,,,,,,,
Southeast Iowa Link,2021,42310,Community Living Support Services,,Psychotherapeutic Treatment - Transitional Living Program,687,,,,,,687
Southeast Iowa Link,2021,42363,Community Living Support Services,,Psychotherapeutic Treatment - Day Treatment Services,,,,,,,
Southeast Iowa Link,2021,42396,Community Living Support Services,,Psychotherapeutic Treatment - Community Support Programs,,,,,,,
Southeast Iowa Link,2021,42399,Community Living Support Services,,Psychotherapeutic Treatment - Other,,,,,,,
Southeast Iowa Link,2021,44304,Community Living Support Services,,Crisis Services - Emergency Care,,,,,,,
Southeast Iowa Link,2021,44399,Community Living Support Services,,Other Crisis Services,,,,,,,
Southeast Iowa Link,2021,46306,Community Living Support Services,,Prescription Medication (Psychiatric Medications in Jail),,,,,,,
Southeast Iowa Link,2021,50361,Community Living Support Services,,Vocational Skills Training,,,,,,,
Southeast Iowa Link,2021,50365,Community Living Support Services,,Supported Education,,,,,,,
Southeast Iowa Link,2021,50399,Community Living Support Services,,Voc/Day - Day Habilitation,,,,,,,
Southeast Iowa Link,2021,63310,Community Living Support Services,,Comm Based Settings (1-5 Bed) - Assisted Living,,,,,,,
Southeast Iowa Link,2021,63329,Community Living Support Services,,Comm Based Settings (1-5 Bed) - Supported Community Living,,,,,,,
Southeast Iowa Link,2021,63399,Community Living Support Services,,Comm Based Settings (1-5 Bed) - Other,,,,,,,
Southeast Iowa Link,2021,63XXX,Community Living Support Services,,ICF 1-5 beds,,,,,,,
Southeast Iowa Link,2021,63XXX,Community Living Support Services,,RCF 1-5 beds,,,,,,,
Southeast Iowa Link,2021,50360,Congregate Services,,Voc/Day - Sheltered Workshop Services,,,,,,,
Southeast Iowa Link,2021,64310,Congregate Services,,Comm Based Settings (6+ Beds) - Assisted Living,,,,,,,
Southeast Iowa Link,2021,64329,Congregate Services,,Comm Based Settings (6+ Beds) - Supported Community Living,3625,,,,,,3625
Southeast Iowa Link,2021,64399,Congregate Services,,Comm Based Settings (6+ Beds) - Other,,,,,,,
Southeast Iowa Link,2021,64XXX,Congregate Services,,ICF-6 and over beds,,,,,,,
Southeast Iowa Link,2021,64XXX,Congregate Services,,RCF-6 and over beds,214509,,,,,,214509
Southeast Iowa Link,2021,11XXX,Administration,,Direct Administration,,,,,710933.25,,710933.25
Southeast Iowa Link,2021,12XXX,Administration,,Purchased Administration,,,,,5758.02,,5758.02
Southeast Iowa Link,2021,15481,Administration,,Distribution to other MHDS Regions: Payments to other government or organization,,,,,,,
Southeast Iowa Link,2021,13951,Uncategorized,,Distribution to MHDS Regional Fiscal Agent - Contributions to Other Governments and Organizations,,,,,5934451,,5934451
Southeast Iowa Link,2021,14951,Uncategorized,,MHDS Fiscal Agent Reimbursement to MHDS Regional Members,,,,,114438.17,,114438.17
Polk County,2021,42305,Core Domains,Treatment,Mental health outpatient therapy **,587710,,,,,587710,
Polk County,2021,42306,Core Domains,Treatment,Medication prescribing & management **,18676,,,,,18676,
Polk County,2021,43301,Core Domains,Treatment,"Assessment, evaluation, and early identification **",44926,500,,,,45426,
Polk County,2021,71319,Core Domains,Treatment,Mental health inpatient therapy-MHI,85013,,,,,85013,
Polk County,2021,73319,Core Domains,Treatment,Mental health inpatient therapy **,,,,,,,
Polk County,2021,32322,Core Domains,Crisis Services,Personal emergency response system,,,1175,,,1175,
Polk County,2021,44301,Core Domains,Crisis Services,Crisis evaluation,,,,,,,
Polk County,2021,44302,Core Domains,Crisis Services,23 hour crisis observation & holding,1062704,,,,,1062704,
Polk County,2021,44305,Core Domains,Crisis Services,24 hour access to crisis response,100000,,,,,100000,
Polk County,2021,44307,Core Domains,Crisis Services,Mobile response **,442425,,,,,442425,
Polk County,2021,44312,Core Domains,Crisis Services,Crisis Stabilization community-based services **,,,,,,,
Polk County,2021,44313,Core Domains,Crisis Services,Crisis Stabilization residential services **,143096,,,,,143096,
Polk County,2021,44396,Core Domains,Crisis Services,Access Centers: start-up / sustainability,1015619,,,,,1015619,
Polk County,2021,32320,Core Domains,Support for Community Living,Home health aide,,,,,,,
Polk County,2021,32325,Core Domains,Support for Community Living,Respite,,3000,11862,,,14862,
Polk County,2021,32328,Core Domains,Support for Community Living,Home & vehicle modifications,,,,,,,
Polk County,2021,32329,Core Domains,Support for Community Living,Supported community living,6629357,1697418.06,3297640,,,11624416,
Polk County,2021,42329,Core Domains,Support for Community Living,Intensive residential services,,,,,,,
Polk County,2021,50362,Core Domains,Support for Employment,Prevocational services,,780,1090,,,1870,
Polk County,2021,50364,Core Domains,Support for Employment,Job development,,,20942,,,20942,
Polk County,2021,50367,Core Domains,Support for Employment,Day habilitation,1396,,,,,1396,
Polk County,2021,50368,Core Domains,Support for Employment,Supported employment,108699,,112925,,,221624,
Polk County,2021,50369,Core Domains,Support for Employment,Group Supported employment-enclave,,,,,,,
Polk County,2021,45323,Core Domains,Recovery Services,Family support,,,,,,,
Polk County,2021,45366,Core Domains,Recovery Services,Peer support,72044,,,,,72044,
Polk County,2021,21375,Core Domains,Service Coordination,Case management,52,,156,,,208,
Polk County,2021,24376,Core Domains,Service Coordination,Health homes,430410,,,,,430410,
Polk County,2021,63309,Core Domains,Sub-Acute Services,Subacute services-1-5 beds,,,,,,,
Polk County,2021,64309,Core Domains,Sub-Acute Services,Subacute services-6 and over beds,,,,,,,
Polk County,2021,4422,Core Domains,Core Evidenced Based Treatment,Education & Training Services - provider competency,224092,,,,,224092,
Polk County,2021,32396,Core Domains,Core Evidenced Based Treatment,Supported housing,2671811,3615,25850,,,2701276,
Polk County,2021,42398,Core Domains,Core Evidenced Based Treatment,Assertive community treatment (ACT),638816,,,,,638816,
Polk County,2021,45373,Core Domains,Core Evidenced Based Treatment,Family psychoeducation,,,,,,,
Polk County,2021,46319,Mandated Services,,Oakdale,,,,,,,
Polk County,2021,72319,Mandated Services,,State resource centers,,,,,,,
Polk County,2021,74XXX,Mandated Services,,Commitment related (except 301),109401,1705,338,,,111443,
Polk County,2021,75XXX,Mandated Services,,Mental health advocate,140728,,,,,140728,
Polk County,2021,25xxx,Additional Core Domains,Justice system-involved services,Coordination services,,,,,,,
Polk County,2021,44346,Additional Core Domains,Justice system-involved services,24 hour crisis line*,,,,,,,
Polk County,2021,44366,Additional Core Domains,Justice system-involved services,Warm line*,,,,,,,
Polk County,2021,46305,Additional Core Domains,Justice system-involved services,Mental health services in jails,,,,,,,
Polk County,2021,46399,Additional Core Domains,Justice system-involved services,Justice system-involved services-other,,,,,,,
Polk County,2021,46422,Additional Core Domains,Justice system-involved services,Crisis prevention training,,,,,,,
Polk County,2021,46425,Additional Core Domains,Justice system-involved services,Mental health court related costs,,,,,,,
Polk County,2021,74301,Additional Core Domains,Justice system-involved services,Civil commitment prescreening evaluation,100000,,,,,100000,
Polk County,2021,42366,Additional Core Domains,Additional Core Evidenced based treatment,Peer self-help drop-in centers,,,,,,,
Polk County,2021,42397,Additional Core Domains,Additional Core Evidenced based treatment,Psychiatric rehabilitation (IPR),,,,,,,
Polk County,2021,3371,Other Informational Services,,Information & referral,27291,,,,,27291,
Polk County,2021,4372,Other Informational Services,,"Planning, consultation &/or early intervention (client related) **",59824,,,,,59824,
Polk County,2021,4377,Other Informational Services,,Provider Incentive Payment,,,,,,,
Polk County,2021,4399,Other Informational Services,,Consultation Other,,,,,,,
Polk County,2021,4429,Other Informational Services,,Planning and Management Consultants (non-client related),105356,,,,,105356,
Polk County,2021,5373,Other Informational Services,,"Public education, prevention and education **",271358,,,,,271358,
Polk County,2021,6399,Community Living Supports,,Academic services,,,,,,,
Polk County,2021,22XXX,Community Living Supports,,Services management,801050,200214,523218,,,1524482,
Polk County,2021,23376,Community Living Supports,,Crisis care coordination,281721,,,,,281721,
Polk County,2021,23399,Community Living Supports,,Crisis care coordination other,,,,,,,
Polk County,2021,24399,Community Living Supports,,Health home other,,,,,,,
Polk County,2021,31XXX,Community Living Supports,,Transportation,,,,,,,
Polk County,2021,32321,Community Living Supports,,Chore services,,,,,,,
Polk County,2021,32326,Community Living Supports,,Guardian/conservator,,,,,,,
Polk County,2021,32327,Community Living Supports,,Representative payee,,,,,,,
Polk County,2021,32335,Community Living Supports,,CDAC,136782,,20936,,,157718,
Polk County,2021,32399,Community Living Supports,,Other support,299420,70,100,,,299590,
Polk County,2021,33330,Community Living Supports,,Mobile meals,,,,,,,
Polk County,2021,33340,Community Living Supports,,Rent payments (time limited),,,,,,,
Polk County,2021,33345,Community Living Supports,,Ongoing rent subsidy,,,,,,,
Polk County,2021,33399,Community Living Supports,,Other basic needs,313985,,,,,313985,
Polk County,2021,41305,Community Living Supports,,Physiological outpatient treatment,,,,,,,
Polk County,2021,41306,Community Living Supports,,Prescription meds,1032,,,,,1032,
Polk County,2021,41307,Community Living Supports,,In-home nursing,,,,,,,
Polk County,2021,41308,Community Living Supports,,Health supplies,,,,,,,
Polk County,2021,41399,Community Living Supports,,Other physiological treatment,,,,,,,
Polk County,2021,42309,Community Living Supports,,Partial hospitalization,,,,,,,
Polk County,2021,42310,Community Living Supports,,Transitional living program,,,,,,,
Polk County,2021,42363,Community Living Supports,,Day treatment,,,,,,,
Polk County,2021,42396,Community Living Supports,,Community support programs,,,,,,,
Polk County,2021,42399,Community Living Supports,,Other psychotherapeutic treatment,,,,,,,
Polk County,2021,43399,Community Living Supports,,Other non-crisis evaluation,,,,,,,
Polk County,2021,44304,Community Living Supports,,Emergency care,,,,,,,
Polk County,2021,44399,Community Living Supports,,Other crisis services,,,,,,,
Polk County,2021,45399,Community Living Supports,,Other family & peer support,,,,,,,
Polk County,2021,46306,Community Living Supports,,Psychiatric medications in jail,,,,,,,
Polk County,2021,50361,Community Living Supports,,Vocational skills training,242894,28230,,,,271124,
Polk County,2021,50365,Community Living Supports,,Supported education,5019,6961,47699,,,59679,
Polk County,2021,50399,Community Living Supports,,Other vocational & day services,,,,,,,
Polk County,2021,63XXX,Community Living Supports,,"RCF 1-5 beds (63314, 63315 & 63316)",,,,,,,
Polk County,2021,63XXX,Community Living Supports,,ICF 1-5 beds (63317 & 63318),,,,,,,
Polk County,2021,63329,Community Living Supports,,SCL 1-5 beds,,,,,,,
Polk County,2021,63399,Community Living Supports,,Other 1-5 beds,,,,,,,
Polk County,2021,50360,Other Congregate Services,,Work services (work activity/sheltered work),,,,,,,
Polk County,2021,64XXX,Other Congregate Services,,"RCF 6 and over beds (64314, 64315 & 64316)",840639,,,,,840639,
Polk County,2021,64329,Other Congregate Services,,SCL 6 and over beds,,,,,,,
Polk County,2021,64399,Other Congregate Services,,Other 6 and over beds,,,,,,,
Polk County,2021,11XXX,Administration,,Direct Administration,,,,,2200772,2200772,
Polk County,2021,12XXX,Administration,,Purchased Administration,,,,,90466,90466,
MHDS of East Central Region,2021,42305,Core,Treatment,Psychotherapeutic Treatment - Outpatient,312615.7,,,,,,312615.7
MHDS of East Central Region,2021,42306,Core,Treatment,Psychotherapeutic Treatment - Medication Prescribing,73215.51,,,,,,73215.51
MHDS of East Central Region,2021,43301,Core,Treatment,Evaluation (Non Crisis) - Assessment and Evaluation,,,,,,,
MHDS of East Central Region,2021,71319,Core,Treatment,State MHI Inpatient - Per diem charges,507974.19,,,,,,507974.19
MHDS of East Central Region,2021,73319,Core,Treatment,Other Priv./Public Hospitals - Inpatient per diem charges,9793.07,,,,,,9793.07
MHDS of East Central Region,2021,32322,Core,Basic Crisis Response,Support Services - Personal Emergency Response System,3263,,,,,,3263
MHDS of East Central Region,2021,44301,Core,Basic Crisis Response,Crisis Evaluation,118700,,,,,,118700
MHDS of East Central Region,2021,44302,Core,Basic Crisis Response,23 Hour Observation and Holding,,,,,,,
MHDS of East Central Region,2021,44305,Core,Basic Crisis Response,24 Hour Crisis Response,,,,,,,
MHDS of East Central Region,2021,44307,Core,Basic Crisis Response,Mobile Response,1933264.89,,,,,,1933264.89
MHDS of East Central Region,2021,44312,Core,Basic Crisis Response,Crisis Stabilization Community Based Services (CSCBS),320,,,,,,320
MHDS of East Central Region,2021,44313,Core,Basic Crisis Response,Crisis Stabilization Residential Service (CSRS),52227.55,,,,,,52227.55
MHDS of East Central Region,2021,44396,Core,Basic Crisis Response,Access Center start-up/sustainability/coordination,2677739.82,,,,,,2677739.82
MHDS of East Central Region,2021,32320,Core,Support for Community Living,Support Services - Home Health Aides,,,,,,,
MHDS of East Central Region,2021,32325,Core,Support for Community Living,Support Services - Respite Services,,12836.89,2836.58,,,,15673.47
MHDS of East Central Region,2021,32328,Core,Support for Community Living,Support Services - Home/Vehicle Modification,,,,,,,
MHDS of East Central Region,2021,32329,Core,Support for Community Living,Support Services - Supported Community Living,1444781.53,164029.49,185445.02,,,,1794256.04
MHDS of East Central Region,2021,42329,Core,Support for Community Living,Psychotherapeutic Treatment - Intensive Residential Services,,,,,,,
MHDS of East Central Region,2021,50362,Core,Support For Employment,Voc/Day - Prevocational Services,,9950,10800,,,,20750
MHDS of East Central Region,2021,50364,Core,Support For Employment,Voc/Day - Job Development,3685.04,4881.19,824.43,,,,9390.66
MHDS of East Central Region,2021,50367,Core,Support For Employment,Day Habilitation,565157.26,225689.8,84696.26,,,,875543.32
MHDS of East Central Region,2021,50368,Core,Support For Employment,Voc/Day - Individual Supported Employment,27340.14,26796.16,73882.19,,,,128018.49
MHDS of East Central Region,2021,50369,Core,Support For Employment,Voc/Day - Group Supported Employment,809.51,1619.03,269.84,,,,2698.38
MHDS of East Central Region,2021,45323,Core,Recovery Services,Peer Family Support - Family Support,,,,,,,
MHDS of East Central Region,2021,45366,Core,Recovery Services,Peer Family Support - Peer Support Services,126392.34,,,,,,126392.34
MHDS of East Central Region,2021,21375,Core,Service Coordination,Case Management - 100% County,,,,,,,
MHDS of East Central Region,2021,24376,Core,Service Coordination,Health Homes Coordination - Coordination Services,,,,,,,
MHDS of East Central Region,2021,63309,Core,Sub-Acute Services,Sub Acute Services (1-5 Beds),,,,,,,
MHDS of East Central Region,2021,64309,Core,Sub-Acute Services,Sub Acute Services (6+ Beds),4000,,,,,,4000
MHDS of East Central Region,2021,4422,Core,Core Evidence Based Treatment,Consultation - Educational and Training Services,10548.64,,,,,,10548.64
MHDS of East Central Region,2021,32396,Core,Core Evidence Based Treatment,Supported Housing,,,,,,,
MHDS of East Central Region,2021,42398,Core,Core Evidence Based Treatment,Assertive Community Treatment (ACT),521561.93,,,,,,521561.93
MHDS of East Central Region,2021,45373,Core,Core Evidence Based Treatment,Peer Family Support - Family Psycho-Education,,,,,,,
MHDS of East Central Region,2021,46319,Mandated,,Iowa Medical and Classification Center (Oakdale),,,,,,,
MHDS of East Central Region,2021,72319,Mandated,,State Hospital Schools - Inpatient per diem charges,,,,,,,
MHDS of East Central Region,2021,74XXX,Mandated,,CommitmentRelated (except 301),339493.17,,,,,,339493.17
MHDS of East Central Region,2021,75XXX,Mandated,,Mental health advocate,244579.18,,,,,,244579.18
MHDS of East Central Region,2021,25XXX,Core Plus,Justice System Involved Services,Coordination services,547176,,,,,,547176
MHDS of East Central Region,2021,44346,Core Plus,Justice System Involved Services,Crisis Services - Telephone Crisis Service,281539.5,,,,,,281539.5
MHDS of East Central Region,2021,44366,Core Plus,Justice System Involved Services,Warm-Line,2434.12,,,,,,2434.12
MHDS of East Central Region,2021,46305,Core Plus,Justice System Involved Services,Mental Health Services in Jails,252213.64,,,,,,252213.64
MHDS of East Central Region,2021,46399,Core Plus,Justice System Involved Services,Justice System - Involved Services - Other,,,,,,,
MHDS of East Central Region,2021,46422,Core Plus,Justice System Involved Services,Crisis Prevention Training,16151.98,,,,,,16151.98
MHDS of East Central Region,2021,46425,Core Plus,Justice System Involved Services,Mental Health Court related expenses,,,,,,,
MHDS of East Central Region,2021,74301,Core Plus,Justice System Involved Services,Commitment - Civil Prescreening,,,,,,,
MHDS of East Central Region,2021,42366,Core Plus,Additional Core Evidence Based Treatment,Psychotherapeutic Treatment - Social Support Services,190954.92,,2004.06,,,,192958.98
MHDS of East Central Region,2021,42397,Core Plus,Additional Core Evidence Based Treatment,Psychotherapeutic Treatment - Psychiatric Rehabilitation,19319.7,,,,,,19319.7
MHDS of East Central Region,2021,3371,Other Informational Services,,Information and Referral Services,112608.65,,,,,,112608.65
MHDS of East Central Region,2021,4372,Other Informational Services,,Planning and/or Consultation Services (Client Related),,,,,,,
MHDS of East Central Region,2021,4377,Other Informational Services,,MHDS Contract Provider Incentive Payment,,,,,,,
MHDS of East Central Region,2021,4399,Other Informational Services,,Consultation,,,,,,,
MHDS of East Central Region,2021,4429,Other Informational Services,,Planning and Management Consultants (Non-Client Related),500,,,,,,500
MHDS of East Central Region,2021,5373,Other Informational Services,,Public Education Services,2215755.12,,,,,,2215755.12
MHDS of East Central Region,2021,6399,Community Living Support Services,,Academic Services,,,,,,,
MHDS of East Central Region,2021,22XXX,Community Living Support Services,,Services management,702540.83,82920.85,134968.15,,,,920429.83
MHDS of East Central Region,2021,23XXX,Community Living Support Services,,Crisis Care Coordination,,,,,,,
MHDS of East Central Region,2021,31XXX,Community Living Support Services,,Transportation,225864.84,26679.12,41534.33,,,,294078.29
MHDS of East Central Region,2021,32321,Community Living Support Services,,Support Services - Chore Services,,,,,,,
MHDS of East Central Region,2021,32326,Community Living Support Services,,Support Services - Guardian/Conservator,9067,13331,1500,,,,23898
MHDS of East Central Region,2021,32327,Community Living Support Services,,Support Services - Representative Payee,,,,,,,
MHDS of East Central Region,2021,32335,Community Living Support Services,,Consumer-Directed Attendant Care,,,,,,,
MHDS of East Central Region,2021,32399,Community Living Support Services,,Support Services - Other,5050,,5695.2,,,,10745.2
MHDS of East Central Region,2021,33330,Community Living Support Services,,Mobile Meals,,,,,,,
MHDS of East Central Region,2021,33340,Community Living Support Services,,Basic Needs - Rent Payments,,,,,,,
MHDS of East Central Region,2021,33345,Community Living Support Services,,Basic Needs - Ongoing Rent Subsidy,154856.81,3500,,,,,158356.81
MHDS of East Central Region,2021,33399,Community Living Support Services,,Basic Needs - Other,39844.73,694.14,,,,,40538.87
MHDS of East Central Region,2021,41305,Community Living Support Services,,Physiological Treatment - Outpatient,1302.02,,,,,,1302.02
MHDS of East Central Region,2021,41306,Community Living Support Services,,Physiological Treatment - Prescription Medicine/Vaccines,10960.37,,,,,,10960.37
MHDS of East Central Region,2021,41307,Community Living Support Services,,Physiological Treatment - In-Home Nursing,642.12,,,,,,642.12
MHDS of East Central Region,2021,41308,Community Living Support Services,,Physiological Treatment - Health Supplies and Equipment,,,,,,,
MHDS of East Central Region,2021,41399,Community Living Support Services,,Physiological Treatment - Other,,,,,,,
MHDS of East Central Region,2021,42309,Community Living Support Services,,Psychotherapeutic Treatment - Partial Hospitalization,,,,,,,
MHDS of East Central Region,2021,42310,Community Living Support Services,,Psychotherapeutic Treatment - Transitional Living Program,,,,,,,
MHDS of East Central Region,2021,42363,Community Living Support Services,,Psychotherapeutic Treatment - Day Treatment Services,,,,,,,
MHDS of East Central Region,2021,42396,Community Living Support Services,,Psychotherapeutic Treatment - Community Support Programs,9542.02,,,,,,9542.02
MHDS of East Central Region,2021,42399,Community Living Support Services,,Psychotherapeutic Treatment - Other,800,162400,6894.75,,,,170094.75
MHDS of East Central Region,2021,44304,Community Living Support Services,,Crisis Services - Emergency Care,8817.25,,,,,,8817.25
MHDS of East Central Region,2021,44399,Community Living Support Services,,Other Crisis Services,,,,,,,
MHDS of East Central Region,2021,46306,Community Living Support Services,,Prescription Medication (Psychiatric Medications in Jail),76158.8,,,,,,76158.8
MHDS of East Central Region,2021,50361,Community Living Support Services,,Vocational Skills Training,,,,,,,
MHDS of East Central Region,2021,50365,Community Living Support Services,,Supported Education,,,,,,,
MHDS of East Central Region,2021,50399,Community Living Support Services,,Voc/Day - Day Habilitation,,,,,,,
MHDS of East Central Region,2021,63310,Community Living Support Services,,Comm Based Settings (1-5 Bed) - Assisted Living,,,,,,,
MHDS of East Central Region,2021,63329,Community Living Support Services,,Comm Based Settings (1-5 Bed) - Supported Community Living,,,,,,,
MHDS of East Central Region,2021,63399,Community Living Support Services,,Comm Based Settings (1-5 Bed) - Other,,,,,,,
MHDS of East Central Region,2021,63XXX,Community Living Support Services,,ICF 1-5 beds,,,,,,,
MHDS of East Central Region,2021,63XXX,Community Living Support Services,,RCF 1-5 beds,1076.79,,,,,,1076.79
MHDS of East Central Region,2021,50360,Congregate Services,,Voc/Day - Sheltered Workshop Services,,,,,,,
MHDS of East Central Region,2021,64310,Congregate Services,,Comm Based Settings (6+ Beds) - Assisted Living,,,,,,,
MHDS of East Central Region,2021,64329,Congregate Services,,Comm Based Settings (6+ Beds) - Supported Community Living,38564.55,,,,,,38564.55
MHDS of East Central Region,2021,64399,Congregate Services,,Comm Based Settings (6+ Beds) - Other,,,,,,,
MHDS of East Central Region,2021,64XXX,Congregate Services,,ICF-6 and over beds,,,,,,,
MHDS of East Central Region,2021,64XXX,Congregate Services,,RCF-6 and over beds,3349414.87,2063.76,20053.99,,,,3371532.62
MHDS of East Central Region,2021,11XXX,Administration,,Direct Administration,,,,,2361612.63,,2361612.63
MHDS of East Central Region,2021,12XXX,Administration,,Purchased Administration,,,,,298808,,298808
MHDS of East Central Region,2021,15481,Administration,,Distribution to other MHDS Regions: Payments to other government or organization,,,,,,,
MHDS of East Central Region,2021,13951,Uncategorized,,Distribution to MHDS Regional Fiscal Agent - Contributions to Other Governments and Organizations,,,,,23209395.54,,23209395.54
MHDS of East Central Region,2021,14951,Uncategorized,,MHDS Fiscal Agent Reimbursement to MHDS Regional Members,,,,,3219720.08,,3219720.08
Cross Rural Offices of Social Services,2021,42305,Core,Treatment,Psychotherapeutic Treatment - Outpatient,,,,,,,
Cross Rural Offices of Social Services,2021,42306,Core,Treatment,Psychotherapeutic Treatment - Medication Prescribing,,,,,,,
Cross Rural Offices of Social Services,2021,43301,Core,Treatment,Evaluation (Non Crisis) - Assessment and Evaluation,,,,,,,
Cross Rural Offices of Social Services,2021,71319,Core,Treatment,State MHI Inpatient - Per diem charges,121982.99,,,,,,121982.99
Cross Rural Offices of Social Services,2021,73319,Core,Treatment,Other Priv./Public Hospitals - Inpatient per diem charges,,,,,,,
Cross Rural Offices of Social Services,2021,32322,Core,Basic Crisis Response,Support Services - Personal Emergency Response System,,,,,,,
Cross Rural Offices of Social Services,2021,44301,Core,Basic Crisis Response,Crisis Evaluation,123119.82,,,,,,123119.82
Cross Rural Offices of Social Services,2021,44302,Core,Basic Crisis Response,23 Hour Observation and Holding,2478.84,,,,,,2478.84
Cross Rural Offices of Social Services,2021,44305,Core,Basic Crisis Response,24 Hour Crisis Response,178.6,,,,,,178.6
Cross Rural Offices of Social Services,2021,44307,Core,Basic Crisis Response,Mobile Response,57286.21,,,,,,57286.21
Cross Rural Offices of Social Services,2021,44312,Core,Basic Crisis Response,Crisis Stabilization Community Based Services (CSCBS),360.19,,,,,,360.19
Cross Rural Offices of Social Services,2021,44313,Core,Basic Crisis Response,Crisis Stabilization Residential Service (CSRS),18448.74,,,,,,18448.74
Cross Rural Offices of Social Services,2021,44396,Core,Basic Crisis Response,Access Center start-up/sustainability/coordination,716566.87,,,,,,716566.87
Cross Rural Offices of Social Services,2021,32320,Core,Support for Community Living,Support Services - Home Health Aides,,,,,,,
Cross Rural Offices of Social Services,2021,32325,Core,Support for Community Living,Support Services - Respite Services,,,,,,,
Cross Rural Offices of Social Services,2021,32328,Core,Support for Community Living,Support Services - Home/Vehicle Modification,,,,,,,
Cross Rural Offices of Social Services,2021,32329,Core,Support for Community Living,Support Services - Supported Community Living,42678.9,15351.58,51,,,,58081.48
Cross Rural Offices of Social Services,2021,42329,Core,Support for Community Living,Psychotherapeutic Treatment - Intensive Residential Services,,,,,,,
Cross Rural Offices of Social Services,2021,50362,Core,Support For Employment,Voc/Day - Prevocational Services,,,,,,,
Cross Rural Offices of Social Services,2021,50364,Core,Support For Employment,Voc/Day - Job Development,,,,,,,
Cross Rural Offices of Social Services,2021,50367,Core,Support For Employment,Day Habilitation,,,,,,,
Cross Rural Offices of Social Services,2021,50368,Core,Support For Employment,Voc/Day - Individual Supported Employment,,,4954.61,,,,4954.61
Cross Rural Offices of Social Services,2021,50369,Core,Support For Employment,Voc/Day - Group Supported Employment,,,,,,,
Cross Rural Offices of Social Services,2021,45323,Core,Recovery Services,Peer Family Support - Family Support,,,,,,,
Cross Rural Offices of Social Services,2021,45366,Core,Recovery Services,Peer Family Support - Peer Support Services,,,,,,,
Cross Rural Offices of Social Services,2021,21375,Core,Service Coordination,Case Management - 100% County,,,,,,,
Cross Rural Offices of Social Services,2021,24376,Core,Service Coordination,Health Homes Coordination - Coordination Services,841.17,,,,,,841.17
Cross Rural Offices of Social Services,2021,63309,Core,Sub-Acute Services,Sub Acute Services (1-5 Beds),5600,,,,,,5600
Cross Rural Offices of Social Services,2021,64309,Core,Sub-Acute Services,Sub Acute Services (6+ Beds),5600,,,,,,5600
Cross Rural Offices of Social Services,2021,4422,Core,Core Evidence Based Treatment,Consultation - Educational and Training Services,1730,,,,,,1730
Cross Rural Offices of Social Services,2021,32396,Core,Core Evidence Based Treatment,Supported Housing,185000,,,,,,185000
Cross Rural Offices of Social Services,2021,42398,Core,Core Evidence Based Treatment,Assertive Community Treatment (ACT),1915.97,1247.03,,,,,3163
Cross Rural Offices of Social Services,2021,45373,Core,Core Evidence Based Treatment,Peer Family Support - Family Psycho-Education,,,,,,,
Cross Rural Offices of Social Services,2021,46319,Mandated,,Iowa Medical and Classification Center (Oakdale),,,,,,,
Cross Rural Offices of Social Services,2021,72319,Mandated,,State Hospital Schools - Inpatient per diem charges,,,,,,,
Cross Rural Offices of Social Services,2021,74XXX,Mandated,,CommitmentRelated (except 301),52406.26,,,,,,52406.26
