State,Substate Region,Small Area Estimate,95% CI (Lower),95% CI (Upper),Map Group
Virginia,Region 4,5.04%,3.83%,6.61%,4
Virginia,Region 5,5.10%,4.01%,6.47%,4
Washington,Washington,6.19%,5.27%,7.26%,3
Washington,Great Rivers,6.26%,4.64%,8.41%,4
Washington,Greater Columbia,6.01%,4.49%,7.99%,4
Washington,King,5.68%,4.43%,7.27%,4
Washington,North Central,5.58%,4.14%,7.50%,4
Washington,North Sound,5.82%,4.42%,7.62%,4
Washington,Pierce,6.67%,4.95%,8.94%,4
Washington,Salish,6.38%,4.75%,8.51%,4
Washington,Southwest Washington,6.39%,4.80%,8.46%,4
Washington,Spokane,7.74%,5.80%,10.27%,4
Washington,Thurston-Mason,7.15%,5.34%,9.52%,4
West Virginia,West Virginia,6.31%,5.29%,7.50%,3
West Virginia,Region I,5.43%,3.98%,7.39%,4
West Virginia,Region II,6.36%,4.76%,8.44%,4
West Virginia,Region III,6.21%,4.55%,8.42%,4
West Virginia,Region IV,6.06%,4.58%,7.97%,4
West Virginia,Region V,7.04%,5.42%,9.10%,4
West Virginia,Region VI,5.85%,4.39%,7.76%,4
Wisconsin,Wisconsin,5.38%,4.54%,6.37%,3
Wisconsin,Milwaukee,6.71%,5.07%,8.82%,4
Wisconsin,Northeastern,4.82%,3.62%,6.38%,4
Wisconsin,Northern,5.01%,3.70%,6.75%,4
Wisconsin,Southeastern,4.79%,3.62%,6.33%,4
Wisconsin,Southern,5.52%,4.20%,7.21%,4
Wisconsin,Western,5.62%,4.23%,7.44%,4
Wyoming,Wyoming,5.60%,4.71%,6.64%,3
Wyoming,Judicial District 1 (Laramie),6.30%,4.78%,8.25%,4
Wyoming,Judicial District 2,7.12%,5.35%,9.42%,4
Wyoming,Judicial District 3,4.45%,3.28%,6.01%,4
Wyoming,Judicial District 4,4.90%,3.63%,6.59%,4
Wyoming,Judicial District 5,5.07%,3.70%,6.91%,4
Wyoming,Judicial District 6,5.48%,4.07%,7.33%,4
Wyoming,Judicial District 7 (Natrona),6.30%,4.73%,8.34%,4
Wyoming,Judicial District 8,5.32%,3.84%,7.32%,4
Wyoming,Judicial District 9,4.98%,3.65%,6.76%,4
