State,Substate Region,Small Area Estimate,95% CI (Lower),95% CI (Upper),Map Group
Virginia,Region 4,21.26%,17.94%,25.01%,4
Virginia,Region 5,20.89%,18.02%,24.08%,4
Washington,Washington,24.32%,22.03%,26.78%,3
Washington,Great Rivers,22.80%,18.46%,27.81%,4
Washington,Greater Columbia,24.18%,19.83%,29.15%,4
Washington,King,23.79%,20.39%,27.57%,4
Washington,North Central,23.16%,18.74%,28.26%,4
Washington,North Sound,23.77%,19.94%,28.08%,4
Washington,Pierce,25.15%,20.51%,30.43%,4
Washington,Salish,23.66%,19.09%,28.94%,4
Washington,Southwest Washington,25.90%,21.17%,31.27%,4
Washington,Spokane,25.89%,21.58%,30.72%,4
Washington,Thurston-Mason,25.82%,21.02%,31.28%,4
West Virginia,West Virginia,26.15%,23.57%,28.90%,3
West Virginia,Region I,24.71%,19.84%,30.32%,4
West Virginia,Region II,26.78%,22.09%,32.06%,4
West Virginia,Region III,25.86%,21.13%,31.23%,4
West Virginia,Region IV,24.97%,20.88%,29.55%,4
West Virginia,Region V,27.09%,23.31%,31.23%,4
West Virginia,Region VI,26.42%,21.90%,31.51%,4
Wisconsin,Wisconsin,20.86%,18.81%,23.07%,3
Wisconsin,Milwaukee,22.22%,18.53%,26.40%,4
Wisconsin,Northeastern,18.98%,15.74%,22.71%,4
Wisconsin,Northern,18.55%,14.78%,23.01%,4
Wisconsin,Southeastern,21.22%,17.84%,25.05%,4
Wisconsin,Southern,22.81%,19.28%,26.76%,4
Wisconsin,Western,20.27%,16.73%,24.33%,4
Wyoming,Wyoming,22.78%,20.47%,25.26%,3
Wyoming,Judicial District 1 (Laramie),24.12%,20.08%,28.67%,4
Wyoming,Judicial District 2,26.23%,22.36%,30.51%,4
Wyoming,Judicial District 3,21.83%,17.67%,26.65%,4
Wyoming,Judicial District 4,21.85%,17.69%,26.66%,4
Wyoming,Judicial District 5,21.48%,17.30%,26.35%,4
Wyoming,Judicial District 6,22.28%,18.22%,26.94%,4
Wyoming,Judicial District 7 (Natrona),24.20%,20.14%,28.78%,4
Wyoming,Judicial District 8,21.10%,16.95%,25.95%,4
Wyoming,Judicial District 9,20.54%,16.69%,25.01%,4
